,objectname,rating,numplays,average,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,itemtype,,,,,,,,,,,,,
615,"Asteroid","4","1","6.37084","Asteroid","2","2","120","120","120","1980","standalone",,,,,,,,,,,,,
616,"Astro Quartett","2","6","4.46111","The Game of Authors","2","6","15","15","5","0","standalone",,,,,,,,,,,,,
617,"Astro-Dice","3","1","4.25","Astro-Dice","2","5","60","60","60","1999","standalone",,,,,,,,,,,,,
618,"Atlanteon","5","","5.80538","Atlanteon","2","2","30","30","30","2003","standalone",,,,,,,,,,,,,
619,"Atlantic Star","6","1","6.8775","Atlantic Star","2","6","60","60","60","2001","standalone",,,,,,,,,,,,,
620,"Atlantic Storm","8","4","6.50682","Atlantic Storm","2","6","60","60","60","1997","standalone",,,,,,,,,,,,,
621,"Atlantis","5","2","10093355","2052","thing","Atlantis","2","4","45","45","",,,,,,,,,,,,,
622,"Atlantis: Ikarus Expansion","5","","14317159","210","thing","Atlantis: Ikarus Expansion","2","4","45","45","",,,,,,,,,,,,,
623,"Atlantis: Variante ""Schiffe""","5","","5.56555","thing","Atlantis: Boat Expansion","2","4","45","45","45","",,,,,,,,,,,,,
624,"Atoll Modules (fan expansion for Power Grid)","6","","7.49945","Atolla Modulis (fan expansion for Funkenschlag)","2","6","120","120","120","2006","expansion",,,,,,,,,,,,,
625,"Attack Sub","8","8","","3609","939","thing","Attack Sub","2","2","30","",,,,,,,,,,,,,
626,"Attack!","5","","5.85584","Attack!","2","6","180","180","180","2003","standalone",,,,,,,,,,,,,
627,"Attack!: Expansion","6","","6.54259","Attack!: Expansion","2","6","180","180","180","2003","expansion",,,,,,,,,,,,,
628,"Attika","6","2","7.00803","Attika","2","4","60","60","45","2003","standalone",,,,,,,,,,,,,
629,"Attila","6","","6.17103","Attila","2","2","360","360","360","1981","standalone",,,,,,,,,,,,,
630,"Attila: Scourge of Rome","7","","7.43378","Attila","2","2","240","240","240","2003","expansion",,,,,,,,,,,,,
631,"Attribut","5","","6.3723","Attribute","3","8","30","30","30","2002","standalone",,,,,,,,,,,,,
632,"Attribut 2","5","","6.75606","Attribut 2","3","8","30","30","30","2004","expansion",,,,,,,,,,,,,
633,"Auction","4","1","5.79093","High-Bid","2","4","25","25","25","1989","standalone",,,,,,,,,,,,,
634,"Auf Achse","6","8","6.24689","Auf Achse","2","6","60","60","60","1987","standalone",,,,,,,,,,,,,
635,"Auf Achse","6","8","6.24689","Auf Achse","2","6","60","60","60","1987","standalone",,,,,,,,,,,,,
636,'"Auf der schwäb''schen Eisenbohn"',"6","","6.33333",'"Auf der schwäb''schen Eisenbohn"',"3","5","60","60","60","2008","expansion",,,,,,,,,,,,,
637,"Auf falscher Fährte","3","","6.52818","Auf falscher Fährte","3","4","30","30","30","2001","standalone",,,,,,,,,,,,,
638,"Auf nach Oklahoma","3","","5","Auf nach Oklahoma","2","6","0","0","0","1999","standalone",,,,,,,,,,,,,
639,"Augsburg 1520","6","","6.45342","Augsburg 1520","2","5","75","75","25","2006","standalone",,,,,,,,,,,,,
640,"Ausbrecher AG","7","11","6.0798","Ausbrecher AG","2","6","20","20","20","1988","standalone",,,,,,,,,,,,,
641,"Der Ausreisser","6","13","6.17528","Breakaway Rider","2","6","20","20","20","1991","standalone",,,,,,,,,,,,,
642,'"Aussie-ASL ''96 Pack"',"7","","7.06522",'"Aussie-ASL ''96 Pack"',"2","2","360","360","360","1996","expansion",,,,,,,,,,,,,
643,'"Aussie-ASL ''97 Pack"',"7","","7.17391",'"Aussie-ASL ''97 Pack"',"2","2","360","360","360","1997","expansion",,,,,,,,,,,,,
644,'"Aussie-ASL ''98 Pack"',"7","","7.09091",'"Aussie-ASL ''98 Pack"',"2","2","360","360","360","1998","expansion",,,,,,,,,,,,,
645,"Austerlitz","5","","6.26404","Austerlitz","2","3","360","360","360","1981","standalone",,,,,,,,,,,,,
646,"Australian Rails","7","13","5.86396","thing","Australian Rails","2","6","240","240","180","",,,,,,,,,,,,,
647,"Australian Railways","7","","7.04286","Australian Railways","3","5","120","120","120","2004","standalone",,,,,,,,,,,,,
648,"Austria Quiz","6","6","6","Austria Quiz","2","4","20","20","20","0","standalone",,,,,,,,,,,,,
649,"Austro-Prussian War","5","","6.69283","Austro-Prussian War","2","4","180","180","180","1994","standalone",,,,,,,,,,,,,
650,"Autoduel Quarterly","5","","6.77103","Autoduel Quarterly","1","12","60","60","60","1983","expansion",,,,,,,,,,,,,
651,"Avalon","4","3","5.70325","Avalon","2","2","45","45","45","2003","standalone",,,,,,,,,,,,,
652,'"Avalon Hill''s Game of Trivia"',"4","","5.00465",'"Avalon Hill Game Company''s Game of Trivia"',"2","6","120","120","120","1981","standalone",,,,,,,,,,,,,
653,"Ave","5","","6.4","Ave","2","4","150","150","150","2000","standalone",,,,,,,,,,,,,
654,"Ave Caesar","7","2","6.62947","Ave Caesar","2","6","30","30","30","1989","standalone",,,,,,,,,,,,,
655,"The Awful Green Things From Outer Space","7","6","6.50861","The Awful Green Things From Outer Space","2","2","90","90","90","1988","standalone",,,,,,,,,,,,,
656,"The Awful Green Things From Outer Space","7","6","6.50861","The Awful Green Things From Outer Space","2","2","90","90","90","1990","standalone",,,,,,,,,,,,,
657,"Axis & Allies","7","3","6.56112","Axis & Allies","2","5","180","180","180","1987","standalone",,,,,,,,,,,,,
658,"Axis & Allies: D-Day","7","3","6.42111","Axis & Allies: D-Day","2","3","120","120","120","2004","standalone",,,,,,,,,,,,,
659,"Axis & Allies: WWI 1914","1","2", because I wanted to like that game. ,,,,,,,,,,,,,,,,,,,,,
660,And the ""1"" for declaring the game ""broken"" is not that far fetched,' it''s a pain in the a$$ to play. Stupid Hasborgs!"',"","","standalone","","Avalon Hill Games, Inc., Wizards of the Coast","English","2013",,,,,,,,,,,,,,
661,"Aye,"18723","5","5.71523","thing","Aye, Dark Overlord! The Red Box","4","16","30","30","",,,,,,,,,,,,,
662,"B-17: Queen of the Skies","8","64","7.02433","B-17: Queen of the Skies","1","2","20","20","20","1983","standalone",,,,,,,,,,,,,
663,"B-29 Superfortress","7","","7.02906","B-29 Superfortress","1","1","90","90","90","2008","standalone",,,,,,,,,,,,,
664,"B-29 Superfortress","7","","7.02906","B-29 Superfortress","1","1","90","90","90","2012","standalone",,,,,,,,,,,,,
665,"Babel","5","3","6.68392","Babel","2","2","60","60","45","2000","standalone",,,,,,,,,,,,,
666,"Backblast #1","7","1","7.14286","Backblast #1","0","0","0","0","0","0","expansion",,,,,,,,,,,,,
667,"Backblast #2","7","3","7.14286","Backblast #2","2","2","0","0","0","1995","expansion",,,,,,,,,,,,,
668,"Backgammon","9","259","6.35867","thing","Backgammon","2","2","30","30","30","",,,,,,,,,,,,,
669,"Backgammon","9","259","6.52737","Backgammon","2","2","30","30","30","-3000","",,,,,,,,,,,,,
670,"Backgammon","9","259","6.52737","Backgammon","2","2","30","30","30","1989","standalone",,,,,,,,,,,,,
671,"Backpacks and Blisters","5","1","6.17232","Backpacks and Blisters","1","6","45","45","30","1993","standalone",,,,,,,,,,,,,
672,"Bakerspeed","6","","4.70822","Bakerspeed","2","5","15","15","15","2014","standalone",,,,,,,,,,,,,
673,"Bali","5","1","6.09435","Bali","3","4","60","60","60","2001","standalone",,,,,,,,,,,,,
674,"Bali","5","3","6.36704","Bali","1","4","30","30","30","1980","standalone",,,,,,,,,,,,,
675,"Balkan Hell","3","","5.94444","Balkan Hell","2","2","120","120","120","1995","standalone",,,,,,,,,,,,,
676,"Balkan Warfare Pack: ASL","7","","6","Balkan Warfare Pack: ASL","2","2","0","0","0","2006","expansion",,,,,,,,,,,,,
677,"Ballon Cup","5","2","6.69504","Balloon Cup","2","2","30","30","30","2003","standalone",,,,,,,,,,,,,
678,"Balneator","3","","5.79166","Balneator","2","2","25","25","25","2010","standalone",,,,,,,,,,,,,
679,"Baltimore & Ohio: Maine Lumber Expansion","7","","6.59459","Baltimore & Ohio: Maine Lumber Expansion","3","6","180","180","180","2010","expansion",,,,,,,,,,,,,
680,"Baltimore & Ohio: Norfolk & Western Railroad Expansion","7","","6.15278","Baltimore & Ohio: Norfolk & Western Railroad Expansion","3","6","180","180","180","2011","expansion",,,,,,,,,,,,,
681,"Baltimore & Ohio: Robber Barons Expansion","7","","7.3125","Baltimore & Ohio: Robber Barons Expansion","3","6","180","180","180","2011","expansion",,,,,,,,,,,,,
682,"Baltimore & Ohio: Technology Level Seven Expansion","8","","7.19444","Baltimore & Ohio: Technology Level Seven Expansion","3","6","180","180","180","2011","expansion",,,,,,,,,,,,,
683,"Baltimore and Ohio","8","1","7.21853","Baltimore & Ohio","3","6","120","120","120","2009","standalone",,,,,,,,,,,,,
684,"Bambuti","4","1","5.96423","Bambuti","2","2","20","20","20","1999","standalone",,,,,,,,,,,,,
685,"Banana Republic","4","1","5.38228","Banana Republic","2","5","30","30","30","0","standalone",,,,,,,,,,,,,
686,"Banditos","2","","5.05882","Banditos","3","4","30","30","30","2002","standalone",,,,,,,,,,,,,
687,"BANG!","7","","6.52182","BANG!","4","7","40","40","20","2007","standalone",,,,,,,,,,,,,
688,"BANG!","7","","6.52182","BANG!","4","7","40","40","20","2005","standalone",,,,,,,,,,,,,
689,"BANG! A Fistful of Cards","7","","6.46616","BANG! A Fistful of Cards","4","7","30","30","30","2005","expansion",,,,,,,,,,,,,
690,"BANG! Dodge City","7","","6.87367","BANG! Dodge City","3","8","40","40","20","2007","expansion",,,,,,,,,,,,,
691,"BANG! Dodge City","7","","6.87367","BANG! Dodge City","3","8","40","40","20","2005","expansion",,,,,,,,,,,,,
692,"BANG! Für eine Handvoll Karten","7","","6.46616","BANG! A Fistful of Cards","4","7","30","30","30","2005","expansion",,,,,,,,,,,,,
693,"BANG! Gold Rush","7","","6.72004","BANG! Gold Rush","4","7","40","40","20","2011","expansion",,,,,,,,,,,,,
694,"BANG! Johnny Kisch","5","","6.38824","BANG! Johnny Kisch","4","7","30","30","30","2007","expansion",,,,,,,,,,,,,
695,"BANG! The Bullet!","7","","6.94277","BANG! The Bullet!","3","8","40","40","20","2007","standalone",,,,,,,,,,,,,
696,"BANG! The Dice Game","7","","6.98467","BANG! The Dice Game","3","8","15","15","15","2013","standalone",,,,,,,,,,,,,
697,"BANG! Uncle Will","5","","6.34684","BANG! Uncle Will","4","7","30","30","30","2007","expansion",,,,,,,,,,,,,
698,"BANG! Wild West Show","7","","6.7271","BANG! Wild West Show","4","7","40","40","20","2010","expansion",,,,,,,,,,,,,
699,"BANG! Zwölf Uhr Mittags","7","","6.71396","BANG! High Noon","4","7","30","30","30","2003","expansion",,,,,,,,,,,,,
700,"Banzai","9","","8.17815","Banzai","1","2","60","60","60","1984","expansion",,,,,,,,,,,,,
701,'"Baraque de Fraiture: The Battle for Parker''s Crossroads"',"9","3","7.52174",'"Baraque de Fraiture: The Battle for Parker''s Crossroads"',"2","2","0","0","0","2007","expansion",,,,,,,,,,,,,
702,"Barbarian Kings","4","","5.952","Barbarian Kings","2","5","120","120","120","2001","standalone",,,,,,,,,,,,,
703,"Barbarians","4","","5.31084","Barbarians","1","2","240","240","240","1994","standalone",,,,,,,,,,,,,
704,"Barbarossa","7","","6.87664","Barbarossa","2","5","60","60","60","2015","standalone",,,,,,,,,,,,,
705,"Barbarossa North","7","","7","Barbarossa North","2","2","0","0","0","2005","expansion",,,,,,,,,,,,,
706,"Barbarossa und die Rätselmeister","6","5","6.34921","Barbarossa","3","4","60","60","60","1988","standalone",,,,,,,,,,,,,
707,"Barbarossa: Promo Pack","5","","6.21875","Barbarossa: Promo Pack","2","5","60","60","60","2015","expansion",,,,,,,,,,,,,
708,"Bark Future","2","2","1.5","Bark Future","0","0","0","0","0","1989","standalone",,,,,,,,,,,,,
709,"The Barons of Fyn","3","","5.34783","The Barons of Fyn","2","6","60","60","60","1994","standalone",,,,,,,,,,,,,
710,"Baseball Strategy","3","","5.78558","Baseball Strategy","2","2","90","90","60","1973","standalone",,,,,,,,,,,,,
711,"Bastogne: The Desperate Defense,"12465","2","0","thing","Bastogne: The Desperate Defense, December 1944","2","2","180","180","",,,,,,,,,,,,,
712,"Batman: Poker gegen Joker","2","1","5.825","Batman: Poker gegen Joker","2","2","20","20","20","1989","standalone",,,,,,,,,,,,,
713,"The Baton Races of Yaz","3","","5.44636","The Baton Races of Yaz","2","2","60","60","60","1984","standalone",,,,,,,,,,,,,
714,'"The Battle at Kemble''s Cascade"',"8","","6.77561",'"The Battle at Kemble''s Cascade"',"1","5","75","75","75","2014","standalone",,,,,,,,,,,,,
715,"Battle Cattle: The Card Game","6","1","5.30729","Battle Cattle: The Card Game","2","6","30","30","30","2001","standalone",,,,,,,,,,,,,
716,"Battle Cry","7","7","7.15622","Battle Cry","2","2","45","45","45","1999","standalone",,,,,,,,,,,,,
717,"The Battle for Cassino: Assaulting the Gustav Line,"5996","5","5.47226","thing","The Battle for Cassino: Assaulting the Gustav Line, 1944","2","2","240","240","",,,,,,,,,,,,,
718,"The Battle for Hill 218","6","","6.64709","The Battle for Hill 218","2","2","15","15","15","2009","standalone",,,,,,,,,,,,,
719,"Battle for Italy","5","","6.26576","Arcola: The Battle for Italy, 1796","2","2","60","60","60","",,,,,,,,,,,,,
720,"Battle for Moscow (first edition)","3","4","6.19743","Battle for Moscow (first edition)","2","2","90","90","90","1986","standalone",,,,,,,,,,,,,
721,"Battle for Moscow (first edition)","3","4","6.19743","Battle for Moscow (first edition)","2","2","90","90","90","1986","standalone",,,,,,,,,,,,,
722,"Battle Hymn","7","","7.48394","Battle Hymn","1","1","240","240","240","1986","standalone",,,,,,,,,,,,,
723,"Battle Hymn: Leatherneck","7","","7.87105","Battle Hymn: Leatherneck","1","1","240","240","240","1988","expansion",,,,,,,,,,,,,
724,"Battle Line","8","9","7.41845","Battle Line","2","2","30","30","30","2007","standalone",,,,,,,,,,,,,
725,"Battle of Britain","7","6","10097376","549","thing","Battle of Britain","2","2","120","120","",,,,,,,,,,,,,
726,"The Battle of Bushy Run","6","","6.23333","The Battle of Bushy Run","2","2","150","150","90","2014","standalone",,,,,,,,,,,,,
727,"The Battle of Five Armies","7","","7.88416","The Battle of Five Armies","2","2","240","240","90","2014","standalone",,,,,,,,,,,,,
728,"The Battle of the Alma","5","","6.50833","The Battle of the Alma","1","2","120","120","120","1994","standalone",,,,,,,,,,,,,
729,"Battle of the Bracchi Hills","5","","7","Battle of the Bracchi Hills","2","2","0","0","0","2004","expansion",,,,,,,,,,,,,
730,"Battle of the Bulge","6","3","6.09206","Battle of the Bulge","2","2","120","120","120","1991","standalone",,,,,,,,,,,,,
731,"The Battle of the Bulge","4","","6.1092","The Battle of the Bulge","2","2","120","120","120","1965","standalone",,,,,,,,,,,,,
732,"Battle of the Hedgerows: The Storm Broke","6","","7","Battle of the Hedgerows: The Storm Broke","2","2","0","0","0","2006","expansion",,,,,,,,,,,,,
733,"The Battle of Wakefield: Yorkshire,"238919","7","5.56265","thing","The Battle of Wakefield: Yorkshire, England 30 December 1460","1","2","120","120","",,,,,,,,,,,,,
734,"Battle Over Britain","7","","6.55392","Battle Over Britain","2","2","300","300","300","1983","standalone",,,,,,,,,,,,,
735,"Battlecars","5","","6.2057","Battlecars","2","4","90","90","90","1983","standalone",,,,,,,,,,,,,
736,"Battlemist","7","1","5.88028","Battlemist","2","6","200","200","200","1998","standalone",,,,,,,,,,,,,
737,"Battlemist: The Sails of War","7","","6.4","Battlemist: The Sails of War","2","6","240","240","240","1999","expansion",,,,,,,,,,,,,
738,"Battles of the Ancient World Volume II","4","1","6.25","Battles of the Ancient World Volume II","1","2","60","60","60","1995","standalone",,,,,,,,,,,,,
739,"Battles of the Warrior Queen","7","","7.49179","Battles of the Warrior Queen","2","2","180","0","180","2017","expansion",,,,,,,,,,,,,
740,"Battleship","2","35","4.60136","Battleship","2","2","30","30","30","1931","standalone",,,,,,,,,,,,,
741,"Battlestar Galactica: Official Variant Rules","2","","14212806","208","thing","Battlestar Galactica: Official Variant Rules","1","6","120","120","",,,,,,,,,,,,,
742,"Battlestar Galactica: The Board Game","10","3","7.74043","Battlestar Galactica: The Board Game","3","6","180","180","120","2008","standalone",,,,,,,,,,,,,
743,"Battlestar Galactica: The Board Game – Daybreak Expansion","7","","8.25665","Battlestar Galactica: The Board Game – Daybreak Expansion","3","7","180","180","120","2013","expansion",,,,,,,,,,,,,
744,"Battlestar Galactica: The Board Game – Exodus Expansion","8","","8.10051","Battlestar Galactica: The Board Game – Exodus Expansion","3","6","180","180","120","2010","expansion",,,,,,,,,,,,,
745,"Battlestar Galactica: The Board Game – Pegasus Expansion","9","","7.81688","Battlestar Galactica: The Board Game – Pegasus Expansion","3","7","180","180","120","2009","expansion",,,,,,,,,,,,,
746,"BattleTech Science Fiction Combat Book Game — WHM-6R Warhammer","4","","5.85172","BattleTech Science Fiction Combat Book Game","2","2","10","10","10","1987","standalone",,,,,,,,,,,,,
747,"BattleTech Science Fiction Combat Book Game: GRF-1N Griffin","4","","5.85172","BattleTech Science Fiction Combat Book Game","2","2","10","10","10","1987","standalone",,,,,,,,,,,,,
748,"BattleTech Science Fiction Combat Book Game: LCT-1S Locust","4","","5.85172","BattleTech Science Fiction Combat Book Game","2","2","10","10","10","1987","standalone",,,,,,,,,,,,,
749,"BattleTech Science Fiction Combat Book Game: RFL-3N Rifleman","4","","5.85172","BattleTech Science Fiction Combat Book Game","2","2","10","10","10","1987","standalone",,,,,,,,,,,,,
750,"BattleTech Science Fiction Combat Book Game: WSP-1A Wasp","4","","5.85172","BattleTech Science Fiction Combat Book Game","2","2","10","10","10","1987","standalone",,,,,,,,,,,,,
751,"Battlewagon","4","","6.38274","Battlewagon","2","2","45","45","45","1981","standalone",,,,,,,,,,,,,
752,'"Battlin'' Bastards of Bataan Pack"',"6","","6",'"Battlin'' Bastards of Bataan Pack"',"2","2","0","0","0","2003","expansion",,,,,,,,,,,,,
753,"Bauboom in Babylon","3","","5","Bauboom in Babylon","2","3","0","0","0","1997","standalone",,,,,,,,,,,,,
754,"Bauernschnapsen","4","251","6.74286","Bauernschnapsen","3","4","90","90","90","0","standalone",,,,,,,,,,,,,
755,"Bayon","5","1","5.53554","Bayon","2","4","30","30","30","2002","standalone",,,,,,,,,,,,,
756,"Bazaar","7","17","6.50994","Bazaar","2","6","45","45","45","1986","standalone",,,,,,,,,,,,,
757,"BEARanoia","6","","5.75","BEARanoia","3","15","1","1","1","2015","standalone",,,,,,,,,,,,,
758,"BEARanoia! Princess Promo","6","","5.11765","BEARanoia! Princess Promo","2","2","0","0","0","2015","standalone",,,,,,,,,,,,,
759,"The Beat Inflation Strategy Game","2","","3.43333","The Beat Inflation Strategy Game","2","4","90","90","90","1975","standalone",,,,,,,,,,,,,
760,"Bedlam Cards","7","","5.24481","Bedlam Cards","2","4","90","90","30","2014","standalone",,,,,,,,,,,,,
761,"Beer & Pretzels","6","","6.1016","Beer & Pretzels","2","5","15","15","15","2009","standalone",,,,,,,,,,,,,
762,"Beer & Pretzels: Purple Coaster Expansion","6","","6.28293","Beer & Pretzels: Purple Coaster Expansion","2","6","15","15","15","2009","expansion",,,,,,,,,,,,,
763,"Beer & Vikings","7","","5.21486","Beer & Vikings","3","8","45","45","45","2012","standalone",,,,,,,,,,,,,
764,"Before I Kill You,"164","4","5.44419","thing","Before I Kill You, Mister Spy...","3","6","30","30","",,,,,,,,,,,,,
765,"Beletage","4","","5.25","Beletage","2","5","0","0","0","2001","standalone",,,,,,,,,,,,,
766,"Belfort","7","1","7.26987","Belfort","2","5","120","120","120","2011","standalone",,,,,,,,,,,,,
767,"Belfort: Guild Promo Pack #1","6","","7.34767","Belfort: Guild Promo Pack #1","2","5","120","120","120","2012","expansion",,,,,,,,,,,,,
768,"Belfort: The Expansion Expansion","7","","7.56446","Belfort: The Expansion Expansion","2","5","90","90","90","2013","expansion",,,,,,,,,,,,,
769,"Bell-Bottomed Badassses on the Mean Streets of Funk","6","","5.96154","Bell-Bottomed Badassses on the Mean Streets of Funk","2","6","40","40","20","2004","standalone",,,,,,,,,,,,,
770,"De Bellis Antiquitatis","6","","7.22325","De Bellis Antiquitatis","2","6","60","60","60","1990","standalone",,,,,,,,,,,,,
771,"Ben Hur","8","6","6.64859","Ben Hur","2","6","90","90","90","1988","standalone",,,,,,,,,,,,,
772,"Ben Hvrt","3","","5.65036","Ben Hurt","4","8","60","60","60","1996","standalone",,,,,,,,,,,,,
773,"Benelux Rails","6","1","7","Benelux Rails","2","3","180","180","180","2007","standalone",,,,,,,,,,,,,
774,"Berlin: Fall of the 3rd Reich","8","","7.85417","Berlin: Fall of the 3rd Reich","1","2","360","360","360","2006","expansion",,,,,,,,,,,,,
775,"Berlin: Red Vengeance","6","","7.28261","Berlin: Red Vengeance","1","2","120","120","120","1997","expansion",,,,,,,,,,,,,
776,"Berserker Halflings from the Dungeon of Dragons","7","","5.78649","Berserker Halflings from the Dungeon of Dragons","2","6","40","40","20","2005","standalone",,,,,,,,,,,,,
777,"Best of Friends","9","","8.46552","Best of Friends","2","4","180","180","180","2013","expansion",,,,,,,,,,,,,
778,"Bet Royal","3","","4.8","Bet Royal","2","6","30","30","30","2009","standalone",,,,,,,,,,,,,
779,"Betrayal at House on the Hill","8","","7.07591","Betrayal at House on the Hill","3","6","60","60","60","2010","standalone",,,,,,,,,,,,,
780,'"Betrayal at House on the Hill: Widow''s Walk"',"8","","7.57246",'"Betrayal at House on the Hill: Widow''s Walk"',"3","6","60","0","60","2016","expansion",,,,,,,,,,,,,
781,"Beyond the Beaches","8","","7.81063","Advanced Squad Leader: Starter Kit Bonus Pack #1 – Beyond the Beaches","2","2","120","120","120","2009","expansion",,,,,,,,,,,,,
782,"Beyond the Beachhead","7","","7.91667","Beyond the Beachhead","2","4","0","0","0","2004","expansion",,,,,,,,,,,,,
783,"Beyond the Beachhead 2","8","","8.19444","Beyond the Beachhead 2","2","2","0","0","0","2009","expansion",,,,,,,,,,,,,
784,"Beyond Valor: ASL Module 1","10","3","8.53112","Beyond Valor: ASL Module 1","2","2","120","120","120","1985","expansion",,,,,,,,,,,,,
785,"Bezzerwizzer","7","","6.38822","Bezzerwizzer","2","4","45","45","45","2008","standalone",,,,,,,,,,,,,
786,"Bezzerwizzer","7","","6.38822","Bezzerwizzer","2","4","45","45","45","2008","standalone",,,,,,,,,,,,,
787,"Bezzerwizzer Familien-Edition","7","","6.10137","Bezzerwizzer Familieudgave","2","4","45","45","45","2008","standalone",,,,,,,,,,,,,
788,"Bezzerwizzer Fragenerweiterung 1.0","8","","7.59231","Bezzerwizzer Fragenerweiterung 1.0","2","4","45","45","45","2011","expansion",,,,,,,,,,,,,
789,"Bezzerwizzer Fragenerweiterung 2.0","8","","7.4375","Bezzerwizzer Fragenerweiterung 2.0","2","4","45","45","45","2014","expansion",,,,,,,,,,,,,
790,"bezzerwizzer kompakt","7","","6.175","bezzerwizzer kompakt","2","4","0","0","0","2011","standalone",,,,,,,,,,,,,
791,"Bier Börse","7","17","6.50994","Bazaar","2","6","45","45","45","1979","standalone",,,,,,,,,,,,,
792,"The Big Cheese","5","","5.91048","The Big Cheese","3","6","30","30","30","1998","standalone",,,,,,,,,,,,,
793,"Big City","6","2","6.89043","Big City","2","5","60","60","60","1999","standalone",,,,,,,,,,,,,
794,"Big Deal","5","","5.56348","Big Deal","2","6","120","120","120","2001","standalone",,,,,,,,,,,,,
795,"The Big Fight","5","","6.97","The Big Fight","2","2","10","10","10","0","standalone",,,,,,,,,,,,,
796,"The Big Idea","5","","6.30825","The Big Idea","3","6","45","45","45","0","standalone",,,,,,,,,,,,,
797,"The Big One","4","","5.25862","The Big One","2","2","60","60","60","0","standalone",,,,,,,,,,,,,
798,"Bild: Das Quiz","5","","0","thing","Bild: Das Quiz","1","6","60","60","60","",,,,,,,,,,,,,
799,"Billabong","6","3","6.87086","Billabong","2","4","30","30","30","1993","standalone",,,,,,,,,,,,,
800,"BioShock Infinite: The Siege of Columbia","8","2","6.0381","thing","BioShock Infinite: The Siege of Columbia","2","4","60","60","60","",,,,,,,,,,,,,
801,"BioShock Infinite: The Siege of Columbia – Enraged Songbird","6","","6.68902","BioShock Infinite: The Siege of Columbia – Enraged Songbird","2","4","60","60","60","2013","expansion",,,,,,,,,,,,,
802,"Bismarck","6","","6.38232","Bismarck","2","2","120","120","120","1962","standalone",,,,,,,,,,,,,
803,"Bismarck (second edition)","5","","6.89277","Bismarck (second edition)","2","2","240","240","240","1980","standalone",,,,,,,,,,,,,
804,"Bison: Die Prärie bebt!","6","","6.35472","Bison: Thunder on the Prairie","2","4","90","90","90","2006","standalone",,,,,,,,,,,,,
805,'"Bitin'' Off Hedz"',"2","","4.60327",'"Bitin'' Off Hedz"',"2","8","60","60","60","1997","standalone",,,,,,,,,,,,,
806,"Bitten: An Erotic Game for Couples","0","","5.5","Bitten: An Erotic Game for Couples","2","2","0","0","0","2015","standalone",,,,,,,,,,,,,
807,"Bitter Woods","5","1","6.90628","Bitter Woods","2","2","240","240","240","1998","standalone",,,,,,,,,,,,,
808,"Black Box","5","1","6.36679","Black Box","1","2","20","20","20","1990","standalone",,,,,,,,,,,,,
809,"Black Death","5","","5.68548","Black Death","2","6","120","120","120","1993","standalone",,,,,,,,,,,,,
810,"Black Monday","6","5","5.66455","Black Monday","2","6","45","45","45","1989","standalone",,,,,,,,,,,,,
811,"The Black Prince","6","","6.33364","The Black Prince","1","2","180","180","180","1992","standalone",,,,,,,,,,,,,
812,"Black Spy","6","4","6.3032","Black Spy","3","6","45","45","45","1981","standalone",,,,,,,,,,,,,
813,"Blackbeard","6","1","6.33289","Blackbeard","1","4","180","180","180","1991","standalone",,,,,,,,,,,,,
814,"Blackbeard","8","","6.10966","Blackbeard","1","5","120","120","120","2008","standalone",,,,,,,,,,,,,
815,"Blackjack","2","12","4.60111","Blackjack","2","10","30","30","30","1700","standalone",,,,,,,,,,,,,
816,"Blast-Off!","2","","4.82128","Blast-Off!","1","4","240","240","240","1969","standalone",,,,,,,,,,,,,
817,"Das Blaue Amulett","5","9","5.65233","Das Blaue Amulett","2","4","60","60","60","1986","standalone",,,,,,,,,,,,,
818,"Blazing Aces! A Fistful of Family Card Games","7","","6.70571","Blazing Aces! A Fistful of Family Card Games","1","20","0","0","0","2007","standalone",,,,,,,,,,,,,
819,"Blind Justice","4","1","4.79","Blind Justice","3","6","90","90","90","1989","standalone",,,,,,,,,,,,,
820,"Blindes Huhn","7","1","5.29595","Blindes Huhn","3","6","20","20","20","1997","standalone",,,,,,,,,,,,,
821,'"Bliss o'' still"',"3","1","5.06667",'"Bliss o'' still"',"2","4","10","10","10","1984","standalone",,,,,,,,,,,,,
822,"Blitz","5","","6","Blitz","2","2","0","0","0","1999","standalone",,,,,,,,,,,,,
823,"Blitz und Donner","5","1","6.49897","Hera and Zeus","2","2","30","30","30","2000","standalone",,,,,,,,,,,,,
824,"Blitzkrieg","3","","5.88132","Blitzkrieg","2","2","90","90","90","1965","standalone",,,,,,,,,,,,,
825,"Blitzkrieg Pack","7","","7","Blitzkrieg Pack","2","2","0","0","0","2004","expansion",,,,,,,,,,,,,
826,"Block Mania","7","1","6.43141","Block Mania","2","2","120","120","120","1987","standalone",,,,,,,,,,,,,
827,"Block Mania: Mega-Mania","7","","6.68312","Block Mania: Mega-Mania","3","4","180","180","180","1987","expansion",,,,,,,,,,,,,
828,"Blockade","5","","11887291","182","thing","Sly","1","4","20","20","",,,,,,,,,,,,,
829,"Blokus","6","53","6.90235","Blokus","2","4","20","20","20","2005","standalone",,,,,,,,,,,,,
830,"Blokus Duo","6","2","6.85188","Blokus Duo","2","2","15","15","15","2005","standalone",,,,,,,,,,,,,
